employee_id,age,department,years_at_company,monthly_income,job_satisfaction,performance_rating,work_life_balance,training_hours_last_year,attrition
130,34,HR,2,284817.17,3,4,4,69,true
131,44,Engineering,14,170841.27,3,3,4,9,false
132,24,Sales,22,453597.15,3,2,2,62,true
133,24,Engineering,13,117138.68,2,5,4,72,false
134,32,Sales,29,294674.06,1,3,4,110,false
135,42,Accounting,26,119600.73,9,4,4,6,true
136,36,HR,28,319082.88,5,5,4,28,false
137,37,Engineering,6,260939.29,2,2,2,130,false
138,30,Engineering,12,53768.64,7,5,2,123,false
139,44,Customer Service,27,285217.92,9,3,1,74,false
140,32,Engineering,26,148831.68,5,2,1,174,false
141,48,HR,27,416419.25,4,1,2,51,false
142,43,Sales,12,247031.98,10,5,1,168,false
143,45,Accounting,25,214505.45,5,3,4,152,false
144,22,Accounting,26,139309.33,3,4,3,169,false
145,23,Engineering,6,227433.26,5,5,3,21,true
146,23,Accounting,12,300975.2,2,2,3,29,false
147,42,Sales,15,444585.35,9,1,4,47,true
148,30,Engineering,4,241945.48,7,3,2,29,true
149,39,Engineering,24,58923.16,9,3,2,109,true
150,42,Sales,7,472589.07,1,3,4,91,true
151,41,Engineering,24,235398.73,5,1,4,38,true
152,26,Engineering,17,279407.8,1,1,5,34,true
153,44,Engineering,23,416914.71,2,4,5,154,false
154,38,Accounting,26,118658.04,6,2,3,177,false
155,30,Sales,9,182192.09,6,3,1,24,false
156,44,Engineering,16,68806.16,2,3,3,67,false
157,47,Engineering,18,439002.52,7,1,2,136,false
158,25,Customer Service,14,248961.5,4,2,4,107,true
159,32,Engineering,6,373556.02,4,5,5,125,false
160,22,Engineering,29,297635.42,5,4,5,156,true
161,21,Customer Service,13,114960.68,3,1,4,62,false
162,40,Engineering,11,276978.27,3,4,1,178,false
163,27,Engineering,29,176294.55,5,4,5,9,false
164,36,Customer Service,17,281313.58,6,1,1,54,false
165,28,Engineering,16,359978.27,7,3,2,7,true
166,39,Customer Service,14,314374.96,4,5,5,80,false
167,24,HR,18,93411.03,8,3,4,198,true
168,22,Sales,12,357603.3,4,3,3,106,true
169,38,Accounting,16,283474.45,3,5,4,89,true
170,36,Customer Service,13,32675.56,5,4,4,167,false
171,47,Sales,29,254711.44,3,1,3,38,true
172,23,Sales,16,239835.6,7,3,2,23,false
173,42,HR,12,262307.82,10,4,1,161,false
174,26,Customer Service,28,99726.03,1,5,1,166,true
175,30,Accounting,16,490711.98,8,5,3,175,true
176,26,Sales,2,442075.48,9,2,4,109,true
177,33,Customer Service,28,171169.68,5,4,2,22,false
178,46,Customer Service,4,411196.42,9,5,2,4,false
179,50,Sales,16,80484.17,10,5,1,141,true
180,31,Engineering,8,466609.72,3,5,3,96,true
181,33,Engineering,27,316580.83,3,1,1,165,false
182,24,Customer Service,21,468084.27,5,3,2,11,false
183,41,Customer Service,19,86247.57,3,5,4,142,false
184,41,Sales,14,57828.66,5,2,2,39,true
185,32,Accounting,17,168120.96,5,1,1,69,false
186,25,Accounting,8,253511.0,9,3,5,113,false
187,48,Engineering,28,350078.54,4,5,5,88,true
188,34,Accounting,11,99674.21,6,3,4,48,false
189,34,Sales,21,53241.95,4,2,1,97,false
190,30,HR,18,433281.08,7,1,2,88,true
191,34,Accounting,12,415683.05,8,4,2,2,true
192,24,Engineering,4,103639.16,5,3,4,12,false
193,22,Engineering,18,197138.2,7,2,1,151,false
194,39,Sales,5,281566.74,3,1,1,5,false
195,39,Accounting,29,43159.94,10,3,3,90,false
196,50,Sales,5,168162.42,1,2,4,157,true
197,25,Engineering,3,292369.06,4,4,4,173,false
198,43,Accounting,9,488679.29,8,2,5,153,false
199,25,Engineering,3,466778.1,8,2,2,58,true
200,36,Engineering,27,466672.68,4,4,4,148,true
201,24,Accounting,21,286814.3,2,5,4,166,true
202,44,HR,22,166746.57,10,3,4,164,false
203,50,Sales,15,402341.15,9,4,4,137,false
204,38,Accounting,20,401528.55,2,5,2,120,false
205,34,Sales,10,404506.06,10,3,1,37,true
206,29,Sales,2,48108.61,8,2,2,70,true
207,39,HR,23,249675.97,4,4,3,11,true
208,28,Customer Service,9,133589.19,6,3,2,178,false
209,41,Sales,3,457940.88,2,2,3,128,true
210,41,Engineering,5,335261.98,3,5,3,173,true
211,31,Engineering,21,384022.47,2,3,2,115,true
212,44,Engineering,2,491702.26,3,1,2,16,true
213,22,Engineering,29,355085.57,1,2,1,60,true
214,37,Customer Service,19,306794.64,1,3,1,48,true
215,21,Engineering,16,180106.1,1,5,3,83,true
216,25,Accounting,26,358499.32,9,1,2,16,true
217,48,Accounting,22,129796.97,7,5,3,29,false
218,30,HR,6,89166.37,8,1,4,4,true
219,36,Sales,24,149143.48,3,2,3,84,true
220,49,Accounting,25,238949.43,5,5,1,1,false
221,45,Accounting,14,255723.23,8,3,1,58,false
222,34,Engineering,13,318379.2,8,4,5,180,true
223,41,Accounting,20,174043.88,4,2,5,54,false
224,30,Engineering,13,222836.74,5,5,3,102,false
225,46,Engineering,5,147887.2,2,3,4,28,false
226,21,Customer Service,14,348656.62,6,4,5,108,true
227,48,Customer Service,3,58537.11,3,5,4,66,false
228,22,Accounting,6,147447.22,1,1,1,107,true
229,40,Sales,22,232560.94,10,2,3,4,false
230,38,HR,8,166206.07,2,1,4,72,true
231,28,Sales,6,380674.24,7,4,5,113,true
232,29,Engineering,27,70080.61,10,4,3,158,false
233,50,Accounting,15,256301.38,9,2,1,122,false
234,28,Accounting,7,212377.94,5,3,2,105,false
235,40,Engineering,28,126777.76,7,5,4,117,true
236,28,HR,13,431228.66,1,3,4,91,false
237,24,Customer Service,14,318260.89,6,2,2,105,true
238,21,Accounting,26,288770.95,2,5,2,118,true
239,44,Engineering,21,349307.02,4,1,1,39,true
240,45,HR,18,299632.7,3,5,5,174,true
241,34,Accounting,2,441460.31,4,1,2,40,true
242,47,Accounting,26,129858.39,1,4,2,72,true
243,32,Engineering,24,424199.53,4,3,4,147,true
244,32,HR,15,438935.85,8,3,2,27,false
245,39,HR,22,350966.79,1,1,4,171,true
246,34,Accounting,8,252394.12,6,4,3,180,false
247,43,Sales,13,142944.95,7,5,1,8,false
248,49,Accounting,17,224744.46,2,1,1,131,false
249,36,Sales,9,328740.02,8,5,2,148,false
250,34,HR,26,376939.68,2,5,4,196,false
251,37,Accounting,9,365760.42,3,4,1,151,false
252,45,Engineering,18,497717.21,10,2,3,7,true
253,25,Engineering,5,383234.23,10,2,3,163,true
254,26,Engineering,2,283208.01,2,2,1,71,true
255,43,Accounting,29,223193.75,5,2,5,57,true
256,38,Accounting,2,158503.91,8,2,5,2,true
257,30,Accounting,4,311670.53,3,4,2,52,false
258,35,Sales,9,153799.8,5,1,2,23,false
259,50,Engineering,9,39878.94,8,3,4,83,false
260,23,Engineering,15,47197.61,4,1,2,138,true
261,47,Engineering,23,204693.47,3,2,4,125,false
262,29,Engineering,25,195230.63,2,3,2,127,true
263,33,Engineering,17,137960.87,5,3,4,130,true
264,24,Accounting,23,80253.55,9,2,4,124,true
265,47,Accounting,22,466359.8,3,3,4,110,true
266,28,Accounting,26,496424.1,7,1,4,167,false
267,22,Sales,17,396670.56,5,4,4,46,false
268,45,Engineering,13,423877.47,2,4,5,74,true
269,23,Engineering,28,155719.41,8,5,4,98,true
270,47,Accounting,17,229587.74,8,4,4,3,true
271,26,Sales,17,223877.44,2,4,5,69,false
272,37,Engineering,6,206449.75,1,3,3,43,false
273,46,Accounting,16,158656.88,8,3,3,39,true
274,32,Accounting,3,184011.43,7,3,2,30,true
275,31,HR,7,171030.4,6,1,4,102,true
276,50,Sales,11,88544.66,1,5,1,187,false
277,38,Customer Service,8,51603.86,4,5,2,139,true
278,24,Customer Service,24,318991.65,8,2,2,194,true
279,33,Accounting,7,426976.16,1,5,1,149,false
280,48,Accounting,22,416193.82,9,2,3,159,false
281,31,Sales,25,184197.06,4,4,5,189,false
282,42,Accounting,12,119900.21,8,5,5,54,true
283,40,HR,28,188504.49,4,1,4,72,false
284,47,Engineering,16,254230.98,10,2,3,143,true
285,48,Accounting,7,111863.11,6,2,5,96,true
286,30,Customer Service,21,108493.17,2,2,1,91,true
287,27,Accounting,18,447791.13,6,1,2,104,false
288,49,Accounting,15,301352.56,5,2,4,131,false
289,40,Accounting,10,117402.19,6,2,2,23,false
290,33,Customer Service,17,491318.81,1,1,4,161,false
291,49,Accounting,7,446239.57,10,1,4,132,false
292,31,Accounting,4,322882.47,6,5,4,56,true
293,34,Sales,29,230058.82,1,5,2,167,true
294,28,Accounting,17,329005.7,9,4,4,98,true
295,33,Customer Service,9,254593.84,3,4,1,94,true
296,26,Engineering,16,175966.65,9,2,2,64,false
297,36,Sales,10,295889.17,8,1,3,173,false
298,21,Engineering,8,437231.33,10,5,1,101,true
299,47,Engineering,3,465429.89,10,5,3,97,true
300,40,Engineering,14,300387.07,5,3,4,134,true
301,32,Customer Service,8,128321.38,6,4,4,37,false
302,37,Customer Service,17,434037.04,5,1,3,152,true
303,37,Accounting,23,407527.78,4,3,4,104,true
304,47,HR,24,43710.33,7,5,3,168,false
305,50,HR,24,451410.71,1,5,3,31,true
306,36,Engineering,17,481662.29,9,5,2,186,false
307,44,Engineering,23,345279.81,8,1,5,105,false
308,41,Accounting,23,135605.15,10,4,3,200,true
309,41,Engineering,18,353162.54,1,3,2,157,true
310,43,Engineering,6,195521.05,6,1,4,94,true
311,40,Engineering,29,472682.94,5,1,4,64,true
312,43,HR,22,207137.25,7,4,1,151,false
313,28,Accounting,22,107676.76,1,2,5,145,false
314,26,HR,25,445148.89,4,1,2,84,false
315,39,Engineering,19,193309.65,10,5,3,133,true
316,36,Accounting,16,72610.22,9,5,5,62,false
317,30,Sales,15,469802.95,2,4,2,13,true
318,28,HR,4,323579.64,6,4,3,3,true
319,27,Engineering,27,455352.7,7,5,2,60,true
320,21,Engineering,13,216610.67,2,2,5,198,true
321,24,Engineering,18,207851.81,9,3,2,197,true
322,39,Engineering,3,123688.1,6,4,2,53,true
323,22,Accounting,28,341529.54,3,4,2,39,true
324,28,Customer Service,4,313209.46,10,5,2,112,true
325,24,Engineering,12,166485.13,8,4,3,119,false
326,37,Customer Service,4,90657.78,1,3,5,118,false
327,50,Customer Service,16,191018.76,3,3,2,61,true
328,50,Engineering,22,373104.29,3,3,3,107,false
329,31,Accounting,20,66625.21,9,4,4,184,false
330,38,Sales,15,429769.04,2,3,3,90,true
331,41,Sales,2,319525.75,4,5,2,91,true
332,35,Customer Service,27,233694.33,1,5,3,156,false
333,40,HR,26,51802.59,4,2,3,1,true
334,50,Engineering,14,470955.09,4,3,1,23,true
335,45,Engineering,25,239987.33,4,4,4,180,false
336,43,HR,24,435986.28,3,1,5,146,true
337,42,Customer Service,18,291866.47,10,2,1,47,true
338,50,Engineering,25,318463.17,10,4,3,192,false
339,45,HR,29,346593.78,4,5,5,76,false
340,39,HR,8,306897.53,1,3,5,74,true
341,24,Sales,10,226529.09,5,5,1,176,true
342,27,Customer Service,27,462181.76,2,3,4,72,true
343,42,Sales,9,447115.23,7,5,4,87,true
344,44,HR,11,410755.95,2,2,4,17,true
345,30,Accounting,5,266625.51,9,1,3,129,true
346,39,HR,10,335199.81,2,2,2,137,false
347,26,Sales,20,379673.41,5,3,4,22,true
348,33,HR,19,450234.57,2,3,1,179,true
349,32,Accounting,25,176508.97,10,1,1,29,true
350,43,Customer Service,12,294175.65,1,1,5,25,true
351,27,Customer Service,23,120227.57,4,3,5,80,true
352,28,HR,16,220486.95,5,1,4,157,false
353,49,Customer Service,22,142504.14,3,2,2,42,true
354,29,Accounting,7,410468.43,2,2,4,76,false
355,35,Customer Service,19,58326.09,4,1,5,10,true
356,42,Accounting,17,91834.64,6,3,5,163,true
357,35,Sales,27,238181.01,6,1,2,98,false
358,28,Engineering,19,300368.13,2,4,5,137,true
359,22,HR,15,331239.74,9,4,3,100,true
360,27,Engineering,25,306732.76,4,1,3,17,true
361,30,Customer Service,25,221007.35,2,3,5,162,true
362,23,Customer Service,11,272059.25,7,5,4,132,true
363,29,Engineering,28,201656.54,7,3,3,31,false
364,38,Engineering,6,427482.37,4,4,4,126,true
365,30,HR,4,483260.89,5,3,1,147,false
366,35,Accounting,17,337453.37,5,2,4,93,false
367,41,HR,20,153877.08,9,1,4,159,true
368,46,Accounting,23,464919.65,2,5,5,129,false
369,43,HR,20,67530.52,8,5,1,200,false
370,24,Accounting,10,174244.56,3,1,4,65,false
371,24,Engineering,16,365257.49,5,5,1,4,true
372,47,Accounting,18,377812.21,5,5,4,177,true
373,28,Sales,18,303102.05,9,4,3,39,false
374,39,Accounting,12,201920.84,5,3,1,155,false
375,35,Sales,26,208567.34,5,1,3,29,false
376,35,Engineering,7,224173.39,9,4,2,52,false
377,21,Engineering,28,332228.35,3,3,2,41,true
378,22,Accounting,14,266228.78,8,5,4,57,true
379,40,Customer Service,25,116846.43,4,3,5,33,false
380,30,HR,24,266836.05,5,5,1,1,true
381,26,Engineering,3,496031.57,3,4,3,63,true
382,29,Accounting,25,425670.09,5,5,1,189,false
383,31,Sales,5,443349.58,9,1,4,174,true
384,32,HR,19,431309.33,7,4,3,7,false
385,37,Engineering,10,80920.27,7,5,4,93,true
386,28,Accounting,14,219136.6,4,3,1,174,true
387,47,Engineering,3,431807.35,1,1,2,21,true
388,43,Accounting,7,388723.28,6,5,4,70,true
389,41,Accounting,18,77537.86,6,1,3,123,true
390,21,Accounting,3,361871.59,4,5,3,50,false
391,30,Engineering,10,38359.73,5,1,4,195,false
392,40,Accounting,23,197517.88,7,5,1,164,false
393,50,Engineering,15,121483.05,7,5,2,31,false
394,29,Engineering,18,348602.58,3,4,5,99,false
395,49,Customer Service,6,407618.96,8,5,2,10,true
396,33,Engineering,10,140265.39,5,2,3,155,true
397,50,Engineering,3,264559.02,6,4,2,49,false
398,26,Accounting,29,398978.41,6,2,3,184,false
399,37,Accounting,4,357749.3,5,5,3,104,false
400,33,Customer Service,7,248755.98,5,2,2,27,false
401,29,Engineering,25,110610.67,3,5,5,167,false
402,41,Accounting,9,480566.6,9,2,4,195,true
403,34,Engineering,17,112880.88,8,5,5,116,false
404,24,Accounting,29,233003.37,1,2,2,171,false
405,33,HR,26,286741.62,2,3,4,185,false
406,38,Engineering,18,346974.87,7,3,3,6,true
407,44,Engineering,18,443979.16,8,3,2,180,false
408,37,Accounting,9,377388.81,7,2,3,123,false
409,30,Engineering,21,69067.38,1,2,1,83,false
410,46,Accounting,12,388863.48,2,4,4,125,true
411,31,Engineering,15,366843.67,4,5,2,128,false
412,23,Sales,7,454648.66,6,4,5,140,true
413,30,Engineering,28,364291.65,6,1,1,78,true
414,40,HR,20,348014.72,9,2,4,177,false
415,30,Customer Service,26,316843.89,9,1,2,45,false
416,46,Engineering,24,377066.52,10,3,1,152,false
417,46,Engineering,22,484856.58,3,5,3,179,true
418,26,Accounting,12,153886.88,6,2,2,82,true
419,39,Engineering,9,126151.55,10,2,2,132,true
420,45,Accounting,11,368191.46,6,4,2,18,false
421,21,HR,20,44281.19,6,1,4,28,false
422,31,Engineering,27,208431.7,3,4,3,13,false
423,29,Customer Service,7,406435.64,6,3,4,24,true
424,45,Accounting,16,213187.99,9,2,5,54,true
425,34,Engineering,6,255846.96,10,2,5,25,true
426,46,HR,18,367132.92,4,5,4,11,false
427,35,Engineering,10,427110.68,5,2,4,113,true
428,21,Sales,9,90587.75,2,3,2,96,false
429,45,Engineering,28,80717.56,2,3,1,183,false
430,37,Customer Service,28,473795.12,1,5,3,53,false
431,24,Engineering,28,136006.67,1,2,2,23,true
432,44,Customer Service,29,95529.69,8,5,4,9,true
433,46,HR,2,273423.78,5,4,4,45,false
434,36,HR,17,58455.41,10,2,5,77,true
435,33,Accounting,4,30693.55,5,2,5,25,false
436,41,HR,19,437155.75,4,4,3,79,true
437,23,Engineering,4,42507.15,3,3,2,195,true
438,34,Engineering,19,35295.3,4,4,5,36,false
439,29,Customer Service,9,260163.23,2,2,1,180,false
440,29,Customer Service,22,484236.82,8,1,1,144,true
441,30,Engineering,17,130896.71,9,5,1,85,false
442,40,Engineering,21,195623.62,9,2,1,56,true
443,28,Engineering,14,325522.56,4,2,5,132,true
444,34,Customer Service,5,489742.85,4,4,3,72,false
445,29,Customer Service,11,280295.89,1,3,5,199,false
446,32,Engineering,26,104228.26,5,5,2,22,false
447,38,Engineering,4,36592.46,2,2,3,117,false
448,47,Engineering,2,289520.58,4,2,2,141,true
449,48,Customer Service,19,168258.43,2,1,1,46,true
450,47,Customer Service,23,362459.63,3,3,2,23,true
451,24,Engineering,6,110018.26,1,4,3,78,true
452,23,Accounting,28,118728.59,4,4,1,67,false
453,37,Engineering,4,212370.15,3,2,5,86,false
454,24,Accounting,10,211826.18,8,1,4,94,false
455,34,Engineering,24,60785.57,4,3,2,142,false
456,22,Accounting,15,69658.78,1,2,3,48,true
457,39,HR,16,181082.67,10,4,4,183,true
458,36,Engineering,29,196802.13,10,2,4,179,true
459,31,Accounting,20,205029.74,8,5,3,179,false
460,30,HR,21,499971.15,9,3,3,159,true
461,32,Accounting,12,220298.06,10,5,3,25,false
462,50,Customer Service,3,123831.35,4,2,1,77,true
463,45,Sales,25,314955.12,8,5,4,45,false
464,22,Accounting,7,94916.36,10,1,5,60,true
465,22,Engineering,29,474106.32,4,4,5,179,false
466,44,Engineering,6,298506.47,10,3,3,149,false
467,42,Engineering,19,151951.8,4,3,4,111,false
468,23,Engineering,16,135227.97,3,5,4,8,true
469,34,Customer Service,13,139261.69,1,1,5,116,true
470,48,HR,25,190991.99,6,1,3,156,false
471,49,Accounting,23,362032.74,4,3,2,24,false
472,49,Engineering,20,221381.89,3,5,2,75,true
473,36,Accounting,21,267153.13,6,4,1,102,false
474,24,Sales,6,179499.46,7,5,4,152,false
475,29,HR,15,283408.2,8,4,2,58,true
476,42,HR,20,392302.59,9,3,1,195,true
477,40,Accounting,10,277089.82,1,3,4,87,true
478,35,Accounting,19,471156.62,7,3,5,57,false
479,26,Engineering,2,499236.29,4,1,2,119,false
480,39,Engineering,14,491277.39,9,1,2,95,false
481,50,Engineering,11,266193.88,3,5,3,70,false
482,36,Engineering,23,40104.45,2,4,2,7,false
483,41,Engineering,12,374347.42,7,3,4,107,true
484,46,Sales,21,307614.81,6,4,5,175,false
485,44,Customer Service,29,262926.88,7,5,1,65,true
486,30,Customer Service,14,37217.03,6,2,4,172,false
487,50,Sales,7,423995.07,6,3,4,112,true
488,27,Customer Service,14,371197.15,1,3,1,75,true
489,23,Engineering,13,103951.25,10,2,5,60,false
490,38,Engineering,27,223435.92,8,3,5,95,true
491,33,Customer Service,11,299596.7,9,3,2,60,true
492,43,Accounting,23,367220.26,2,2,4,162,true
493,24,Sales,18,45185.1,2,4,1,63,true
494,38,Accounting,16,480624.91,2,5,5,54,false
495,42,Accounting,22,463436.8,10,5,5,132,false
496,30,Customer Service,29,175772.73,3,5,4,24,true
497,29,Engineering,21,411573.9,3,4,2,179,false
498,22,Accounting,18,235993.01,6,3,4,53,false
499,32,Engineering,12,133914.63,10,5,2,48,true
500,41,Engineering,23,265329.67,7,1,2,176,true
501,43,HR,7,272801.56,7,2,1,106,false
502,27,Customer Service,14,298308.99,10,3,1,44,false
503,32,Accounting,5,179884.58,3,3,4,152,false
504,37,Engineering,2,90448.86,10,3,4,133,true
505,47,Sales,10,437991.41,6,1,2,89,false
506,31,Accounting,12,421759.22,4,4,5,1,true
507,28,Sales,20,31802.54,9,2,1,139,false
508,40,Customer Service,14,248121.74,3,1,4,84,false
509,43,Engineering,18,176435.26,5,4,1,122,false
510,47,Customer Service,6,117198.07,9,1,4,39,true
511,24,Accounting,4,312218.37,6,4,4,5,false
512,31,Accounting,14,134537.94,4,4,2,100,false
513,41,HR,6,220669.4,7,1,1,54,true
514,33,HR,26,485094.37,4,4,1,132,true
515,36,Sales,10,251093.06,9,3,3,0,true
516,46,Engineering,22,203830.13,9,4,5,24,true
517,37,Sales,20,161799.14,10,3,1,8,false
518,30,Sales,19,230569.4,10,3,3,96,false
519,40,Accounting,13,279597.58,6,2,4,126,true
520,22,Engineering,29,456813.94,1,5,3,15,true
521,23,Accounting,27,66671.04,8,4,5,13,true
522,34,Engineering,2,50434.64,10,2,5,8,false
523,34,Engineering,12,468164.68,2,5,1,146,true
524,32,Customer Service,24,470806.71,8,2,5,90,true
525,31,Customer Service,17,73644.99,10,4,5,164,true
526,32,Customer Service,14,179188.99,9,4,4,71,false
527,39,Engineering,20,482017.74,5,1,1,77,true
528,32,HR,12,42511.65,2,5,5,93,true
529,38,Engineering,7,375481.37,10,3,5,43,true
530,21,HR,23,378151.69,5,1,4,78,true
531,48,Engineering,8,486526.66,3,4,3,110,true
532,42,Accounting,11,157089.84,2,4,4,143,false
533,49,Engineering,16,274393.67,8,1,3,160,true
534,25,Accounting,3,456488.91,5,4,4,68,false
535,41,Engineering,19,310510.06,9,1,4,183,true
536,29,Accounting,9,102435.53,6,5,2,162,false
537,43,Sales,23,425574.57,7,4,2,140,true
538,28,Engineering,8,281376.82,3,3,4,78,true
539,33,Accounting,11,137152.05,3,4,3,97,true
